#{"t_start": 1743693148.5832803, "env_id": "SuperMarioBros-v2"}
r,l,t
2699.0,471,43161.692132
2645.0,368,43167.86424
1470.0,205,43173.08188
2607.0,354,43178.737565
1836.0,222,43184.644161
1693.0,276,43189.023795
2183.0,270,43195.626666
2395.0,453,43600.900467
1634.0,282,43605.500944
1580.0,257,43611.638369
1844.0,219,43615.539526
1986.0,271,43621.907866
2530.0,479,43631.929796
2736.0,383,43640.125028
1624.0,296,43645.005779
4590.0,941,43894.241443
2675.0,416,43899.237999
1890.0,312,43902.120535
1982.0,349,43906.384372
2786.0,396,43911.163731
1676.0,282,44319.411996
2013.0,355,44327.575627
2693.0,371,44337.4661
2182.0,277,44342.427941
2422.0,381,44350.275844
2055.0,311,44357.608274
3034.0,420,44366.25668
1881.0,269,44370.5828
1475.0,271,44793.925195
1891.0,300,44798.497649
1888.0,260,44804.933069
1440.0,218,44808.220243
1458.0,250,44814.528077
1503.0,196,44817.549685
2566.0,458,44827.418654
2577.0,396,44836.051421
3632.0,440,45130.425064
1463.0,220,45136.098871
1874.0,234,45140.160609
1631.0,219,45146.004208
2096.0,238,45150.110632
1729.0,196,45155.268893
1546.0,245,45159.05027
1875.0,350,45166.908094
1459.0,257,45171.123242
3124.0,521,45190.076922
2608.0,421,45201.238662
1476.0,209,45207.299079
1626.0,210,45211.02602
1654.0,280,45218.121071
1093.0,143,45220.411119
1886.0,292,45225.204111
1987.0,343,45232.841599
1058.0,167,45235.639151
1885.0,267,45448.228014
2462.0,334,45452.374587
1626.0,243,45454.413826
2641.0,486,45459.938111
1223.0,185,45461.496115
1867.0,259,45465.219384
1435.0,237,45467.161475
1839.0,243,45470.801425
2381.0,360,45474.079539
2270.0,553,45712.482541
2017.0,275,45714.805163
2028.0,309,45718.831859
1776.0,252,45720.877656
1484.0,334,45725.170573
1967.0,289,45727.476482
1191.0,169,45730.375802
2783.0,377,45733.419834
3075.0,476,45743.438894
1870.0,463,45748.875841
1085.0,165,45751.697007
1862.0,316,45754.400325
2444.0,465,45759.881085
712.0,100,45760.773199
2970.0,423,45765.8792
1470.0,227,45925.282037
2466.0,372,45928.292959
1087.0,146,45930.824876
2567.0,353,45934.636187
1691.0,201,45937.626137
2117.0,293,45939.994749
710.0,103,45940.915194
2366.0,295,45944.823694
3054.0,455,45949.978667
2549.0,393,46181.854863
1883.0,334,46184.709459
2307.0,320,46188.615766
2533.0,361,46192.844013
2062.0,330,46195.489362
1991.0,380,46199.928567
1568.0,227,46203.126217
2649.0,378,46437.861358
1553.0,222,46441.397434
2075.0,408,46444.700433
2451.0,506,46450.585585
1093.0,153,46453.176115
1070.0,170,46454.574309
2024.0,319,46458.61244
2304.0,325,46461.301444
2057.0,287,46465.240479
1903.0,316,46697.559036
1437.0,206,46699.205356
1582.0,188,46700.792331
2604.0,356,46704.967244
2425.0,443,46710.679713
701.0,103,46711.54574
3029.0,515,46717.391684
1971.0,272,46720.978022
2337.0,290,46805.511491
2264.0,309,46809.702056
1502.0,208,46811.336349
1521.0,197,46814.284729
1074.0,159,46815.521553
2167.0,307,46817.901111
1915.0,275,46821.42235
1901.0,237,46823.519998
1518.0,251,46827.187899
1433.0,195,46828.869243
2051.0,288,47060.427674
1873.0,303,47064.911284
3388.0,507,47069.033174
1076.0,150,47071.667863
2671.0,412,47076.336446
1811.0,240,47078.172781
2286.0,309,47082.004849
2984.0,437,47086.702939
2332.0,360,47311.530264
1878.0,284,47315.339515
2694.0,397,47320.794617
1866.0,314,47323.357102
1514.0,229,47326.584231
2033.0,283,47328.737288
1890.0,261,47332.142975
1288.0,230,47333.915684
1499.0,266,47488.206802
2254.0,344,47491.636654
2544.0,365,47496.370317
2293.0,408,47501.12288
2134.0,306,47503.545908
1456.0,205,47506.586878
1911.0,304,47509.123366
2458.0,365,47513.487186
1486.0,234,47525.513946
2703.0,457,47529.205803
3006.0,394,47533.904642
2263.0,310,47537.960668
1827.0,242,47540.009757
1878.0,317,47543.988987
2078.0,373,47548.343499
1456.0,202,47549.901912
1455.0,218,47774.918586
2739.0,645,47783.580866
1665.0,287,47785.983787
1454.0,265,47789.501641
1104.0,156,47790.729389
1521.0,289,47794.404259
1465.0,220,47796.212916
3111.0,468,47801.284409
2536.0,335,48035.995662
2225.0,325,48038.618254
2008.0,324,48042.642817
2698.0,361,48047.021148
1478.0,216,48048.765414
1888.0,268,48052.222558
1652.0,251,48054.173437
1619.0,289,48057.768084
1074.0,158,48058.945739
1844.0,293,48069.983336
1884.0,246,48071.891035
2723.0,344,48075.882714
3539.0,569,48081.8738
2754.0,358,48086.188933
1893.0,287,48088.492257
2166.0,296,48092.371389
1972.0,263,48102.998808
1471.0,175,48106.227932
2575.0,362,48109.254394
1776.0,283,48113.076438
1072.0,152,48114.336989
2374.0,352,48118.820588
2261.0,310,48121.207715
1564.0,207,48124.213122
1984.0,320,48126.731365
1510.0,211,48129.77959
1082.0,164,48288.394304
1728.0,232,48292.285143
2693.0,366,48295.494067
1909.0,245,48299.023914
1484.0,205,48300.823163
2042.0,397,48305.439345
2398.0,501,48311.059155
1904.0,278,48313.427374
2004.0,256,48326.826938
1052.0,138,48328.324272
3877.0,1124,48340.993075
1529.0,190,48344.05226
1734.0,312,48346.59798
2797.0,362,48350.915012
1826.0,228,48354.093502
722.0,100,48587.058141
1464.0,194,48589.045808
1881.0,263,48593.03961
1942.0,292,48595.312815
2570.0,334,48599.513963
1829.0,244,48601.460142
2007.0,269,48604.970849
3211.0,516,48610.478506
1451.0,185,48611.990698
2007.0,335,48622.226848
1727.0,232,48624.530435
2613.0,405,48629.290542
2255.0,303,48633.124848
1533.0,181,48634.628303
1474.0,476,48639.734851
2111.0,275,48643.313804
3798.0,466,48653.888507
1871.0,253,48657.604323
1842.0,248,48659.703999
2717.0,414,48664.790703
2246.0,330,48668.766513
2516.0,407,48673.5269
2570.0,359,48676.38221
1930.0,260,48679.994166
2380.0,459,48838.630881
2704.0,401,48843.436187
2823.0,512,48849.429317
2027.0,290,48851.839137
1813.0,271,48855.402903
710.0,99,48856.2482
1666.0,269,48858.403459
1648.0,272,48862.020941
2950.0,376,49022.6933
1571.0,242,49024.61583
2170.0,378,49028.919291
2501.0,376,49033.246599
1476.0,237,49035.038749
2264.0,325,49039.879433
735.0,91,49040.677599
2753.0,433,49045.778668
1077.0,141,49046.946931
1494.0,207,49272.5841
1696.0,242,49275.938254
2259.0,307,49278.304398
1846.0,250,49281.648694
1807.0,243,49283.793444
1451.0,171,49286.583259
1978.0,388,49291.299499
2724.0,431,49295.581565
2220.0,309,49535.062463
1786.0,318,49539.731419
2097.0,337,49542.448727
2362.0,320,49546.41246
1913.0,333,49550.437566
1080.0,170,49551.825444
1458.0,203,49553.52472
1514.0,197,49556.497537
3339.0,748,49720.738134
1087.0,140,49722.226326
1667.0,211,49725.506866
3258.0,565,49731.489111
1481.0,225,49733.40599
2223.0,305,49737.271698
2479.0,398,49741.938421
2288.0,355,49745.083198
1171.0,184,49975.585365
2393.0,415,49981.132687
1426.0,291,49983.436807
2795.0,367,49987.779887
1834.0,221,49989.571255
2271.0,312,49993.539184
1893.0,329,49997.531528
2159.0,281,49999.81614
2032.0,290,50231.975769
1466.0,186,50233.852956
2337.0,373,50238.726775
1484.0,182,50240.147058
2730.0,335,50244.235361
2288.0,255,50246.394111
1472.0,189,50249.405045
699.0,115,50250.324174
1104.0,151,50251.517409
2689.0,315,50255.301225
2435.0,360,50258.11985
2324.0,289,50491.251663
1181.0,230,50493.381061
1500.0,213,50496.500785
2046.0,235,50498.459011
2691.0,351,50502.86526
1989.0,294,50506.608156
1913.0,249,50508.635917
1565.0,294,50512.533201
1913.0,239,50514.507823
1746.0,204,50749.748643
2269.0,292,50752.136817
2009.0,282,50755.963666
1837.0,226,50757.777333
2461.0,352,50762.090962
2261.0,283,50764.274166
2315.0,246,50767.694141
1730.0,219,50769.558726
2406.0,339,50773.885365
1671.0,210,51008.642701
1648.0,232,51011.882181
1464.0,176,51013.519209
1968.0,303,51017.651371
2797.0,372,51020.708473
2270.0,317,51024.741392
1577.0,199,51026.341205
1091.0,151,51028.986816
2268.0,299,51031.487303
2469.0,282,51035.142625
1433.0,167,51187.869869
2292.0,303,51192.04181
2248.0,323,51194.705557
2036.0,267,51198.287676
1908.0,251,51200.433124
1585.0,247,51204.275423
2382.0,280,51206.836738
1841.0,229,51210.118762
1498.0,213,51211.850282
2646.0,317,51215.724124
2240.0,299,51302.965092
3504.0,465,51306.946217
1226.0,214,51310.15696
2986.0,391,51314.730205
3379.0,434,51318.358425
2661.0,368,51322.762561
1811.0,226,51326.017383
4590.0,2593,51596.964237
1833.0,245,51757.742814
1992.0,304,51761.797656
1441.0,202,51763.516337
1445.0,173,51765.024061
2824.0,405,51769.940146
1889.0,230,51773.507133
1482.0,213,51775.450805
2311.0,301,51779.380972
1548.0,220,51781.181344
1783.0,275,51869.867632
1853.0,238,51872.235354
2440.0,562,51878.234633
2127.0,314,51882.123861
1988.0,301,51884.588967
3340.0,455,51889.521342
2308.0,308,51893.342317
1665.0,266,51895.409179
2403.0,328,52135.092656
1863.0,240,52141.39988
1926.0,269,52145.830004
1647.0,214,52151.552925
3089.0,534,52162.769164
1455.0,201,52165.954573
1984.0,324,52173.542248
2384.0,371,52179.648581
1565.0,253,52459.537325
1520.0,228,52463.267215
1571.0,225,52469.224819
3205.0,512,52479.468612
1865.0,299,52484.599669
1586.0,207,52490.049021
2104.0,256,52494.428842
1892.0,273,52501.361165
1759.0,214,52504.901224
2287.0,335,52660.375332
2171.0,302,52665.651534
2723.0,353,52673.26662
2637.0,383,52681.792541
2286.0,289,52686.68566
2406.0,287,52693.54912
1965.0,263,52697.935625
2308.0,353,52705.574587
2629.0,366,52750.914176
1536.0,243,52755.076253
4277.0,630,52771.227652
2808.0,390,52777.706739
1826.0,225,52783.761884
2685.0,433,52793.044119
1955.0,277,53062.621651
2341.0,293,53069.818494
3509.0,424,53078.610183
2768.0,407,53086.969078
2258.0,273,53093.429955
2379.0,315,53101.046096
2803.0,352,53106.412523
1510.0,166,53111.721131
2442.0,307,53376.846058
2652.0,391,53385.237013
1504.0,206,53388.388924
2413.0,304,53395.062026
2370.0,258,53399.39729
2440.0,329,53406.542253
1895.0,257,53412.812454
1700.0,267,53416.776428
1871.0,241,53423.839635
1892.0,252,53572.514766
2307.0,294,53579.901257
1589.0,185,53582.903096
1488.0,197,53586.361104
1100.0,132,53590.651242
2303.0,304,53596.162731
1633.0,228,53602.262273
2681.0,360,53608.698745
2216.0,358,53616.183515
2752.0,353,53623.979597
2416.0,311,53941.648472
2715.0,343,53948.788294
1831.0,251,53953.141026
2035.0,308,53960.308901
1652.0,207,53964.780358
1588.0,181,53970.591953
3193.0,579,53984.266026
1952.0,238,53989.057188
2700.0,349,54011.234623
2275.0,325,54019.528108
2251.0,330,54025.104765
2673.0,393,54034.821949
1487.0,236,54040.879358
1839.0,291,54045.489816
2134.0,337,54054.891451
1879.0,255,54059.064651
2335.0,342,54088.165078
2974.0,395,54096.347924
1917.0,343,54102.647707
2969.0,399,54110.687919
2212.0,295,54117.411695
1453.0,232,54121.096578
2270.0,280,54127.347197
2959.0,488,54150.535243
1741.0,238,54154.189499
1993.0,230,54159.764955
2017.0,306,54164.180685
2366.0,309,54170.768764
1649.0,230,54174.860626
2257.0,295,54181.23617
2290.0,294,54185.604251
1500.0,203,54190.757786
1473.0,175,54193.517508
2613.0,295,54216.885417
2377.0,282,54221.408911
1469.0,183,54226.215945
2405.0,262,54230.29373
2215.0,277,54236.904756
1449.0,205,54240.218553
2627.0,385,54248.926993
2402.0,282,54254.127647
2020.0,234,54259.782735
3055.0,440,54282.169808
2260.0,338,54289.160232
1585.0,215,54294.733372
2026.0,302,54299.511353
1459.0,249,54305.380522
1869.0,294,54312.582303
1853.0,261,54316.536198
1566.0,218,54320.181655
1474.0,204,54325.749109
2272.0,319,54459.476749
1490.0,197,54464.790028
2393.0,393,54473.055143
2422.0,316,54478.169943
1595.0,285,54484.564928
1442.0,209,54487.669225
1501.0,190,54492.451205
1821.0,258,54496.422357
1466.0,221,54502.120231
