#{"t_start": 1743693148.5009587, "env_id": "SuperMarioBros-v2"}
r,l,t
2508.0,435,47065.261533
2186.0,290,47067.647084
1991.0,327,47071.690349
1499.0,204,47073.333599
2335.0,383,47077.712615
1459.0,168,47079.036544
2505.0,412,47083.632268
1611.0,250,47086.889571
1461.0,254,47310.7534
4280.0,1250,47324.767768
1432.0,250,47328.058319
2366.0,353,47332.161027
1500.0,264,47334.177599
1882.0,340,47489.30643
1891.0,269,47491.96201
1556.0,255,47495.716099
1504.0,232,47497.683381
2238.0,349,47501.912234
1821.0,234,47503.75549
1460.0,205,47506.786643
2148.0,311,47509.387201
1264.0,234,47512.70524
2276.0,336,47525.552712
2241.0,297,47527.923503
2846.0,422,47532.849915
1777.0,249,47534.95783
1905.0,350,47539.296625
2243.0,401,47544.017148
2394.0,447,47548.958923
1829.0,348,47774.956316
2211.0,318,47779.212032
1466.0,226,47782.717571
2003.0,253,47784.932895
3227.0,428,47789.759744
1510.0,232,47791.561602
1472.0,223,47794.748532
1873.0,241,47796.728335
2259.0,370,47801.005027
1509.0,255,48033.538817
1468.0,187,48036.606065
2035.0,291,48038.918745
1508.0,168,48041.722232
2241.0,329,48044.356079
2746.0,392,48048.978557
2317.0,345,48053.01744
1491.0,299,48055.356069
2536.0,356,48059.424199
1513.0,206,48068.291358
1091.0,144,48070.904826
2595.0,429,48075.538885
1683.0,193,48077.059824
1709.0,272,48080.669779
1888.0,281,48082.995922
1894.0,296,48086.771829
2409.0,348,48089.568009
1975.0,253,48093.093549
2289.0,265,48103.963354
1990.0,231,48107.46753
1882.0,277,48109.771649
2527.0,366,48114.290438
1421.0,205,48116.020507
1507.0,200,48119.193103
1992.0,292,48121.435863
2186.0,313,48125.235339
2562.0,386,48129.712376
2641.0,477,48292.876933
2556.0,386,48296.263521
1567.0,199,48299.44561
1904.0,319,48302.161359
2695.0,424,48307.022381
1558.0,223,48310.289487
1540.0,267,48312.553093
1900.0,245,48315.847726
2421.0,385,48329.552819
1865.0,279,48333.114841
2531.0,326,48337.517464
1882.0,248,48339.752382
2324.0,309,48343.91397
1853.0,240,48345.870499
2750.0,417,48350.597503
2305.0,342,48586.824014
2097.0,402,48590.870095
2390.0,382,48595.420406
2284.0,284,48599.173866
1458.0,177,48600.632361
2180.0,310,48604.494364
3042.0,461,48609.491837
1556.0,226,48611.372223
2368.0,320,48621.269839
1797.0,256,48623.831614
2909.0,711,48632.630443
2301.0,277,48634.871061
2360.0,530,48640.372532
1658.0,296,48644.123374
1486.0,281,48646.349306
2020.0,299,48657.335124
1462.0,220,48659.17378
1494.0,200,48662.347152
2241.0,338,48665.284671
3090.0,596,48672.918862
1827.0,267,48675.037461
2423.0,292,48678.773919
1798.0,253,48680.926619
2387.0,405,48839.097173
2461.0,430,48844.195737
1530.0,198,48845.917764
2273.0,295,48850.021456
2672.0,443,48855.037613
2528.0,361,48857.965534
2359.0,352,48862.228165
1955.0,245,49020.410433
2304.0,317,49024.408085
1958.0,309,49028.20335
4465.0,999,49039.585631
1838.0,278,49041.931687
1565.0,223,49045.277011
1950.0,270,49271.160496
2845.0,472,49276.638457
1775.0,265,49280.067405
1756.0,249,49282.058822
2531.0,371,49286.625372
5078.0,1029,49298.712919
2327.0,367,49537.847359
2001.0,313,49541.930608
1488.0,217,49545.062975
3072.0,458,49548.656839
1810.0,248,49552.090764
1994.0,279,49554.393961
2683.0,387,49558.839001
2408.0,340,49719.489702
2254.0,326,49724.407715
2170.0,381,49727.406027
2328.0,274,49731.147165
1994.0,271,49733.404298
2830.0,330,49737.470933
2456.0,419,49742.339375
2953.0,380,49747.225622
2261.0,267,49977.159299
2115.0,324,49981.643237
1441.0,192,49983.151538
3525.0,438,49988.053591
2075.0,271,49990.291194
1716.0,247,49993.698902
1658.0,258,49995.74553
2010.0,288,49999.446303
1869.0,220,50001.289914
1892.0,265,50233.481177
1572.0,207,50235.479913
2678.0,430,50240.510507
3067.0,411,50245.272283
1445.0,178,50246.774184
2398.0,326,50250.840581
2249.0,368,50255.075602
3711.0,518,50489.803131
707.0,99,50490.729103
3844.0,559,50496.92409
1481.0,260,50499.161457
1961.0,301,50503.097509
2152.0,280,50506.724645
1446.0,195,50508.311293
2557.0,303,50512.267917
2269.0,334,50515.034615
2952.0,516,50752.845928
1495.0,206,50756.037564
1455.0,227,50757.858654
2983.0,889,50767.8427
2012.0,262,50770.045975
3208.0,492,51008.674515
1790.0,312,51012.656823
2418.0,341,51017.136587
1535.0,245,51019.233311
1836.0,243,51022.653796
1531.0,190,51024.199414
1486.0,172,51025.602431
1991.0,312,51029.558547
1585.0,180,51031.085717
2189.0,269,51034.651885
2559.0,356,51189.127689
2081.0,244,51192.601448
2184.0,267,51194.797804
2355.0,337,51198.975553
2595.0,431,51204.396743
2266.0,316,51208.680226
3524.0,447,51212.277212
2668.0,358,51299.332337
3112.0,466,51305.253768
2101.0,283,51309.068496
2269.0,271,51311.249529
1478.0,186,51312.757808
1102.0,168,51315.536568
701.0,107,51316.489586
3177.0,509,51322.07151
2182.0,308,51326.008941
2289.0,469,51571.94046
2392.0,1804,51591.623177
2276.0,347,51597.15243
2732.0,354,51758.906471
1598.0,261,51762.553135
2692.0,553,51768.717556
1814.0,340,51773.259406
2684.0,328,51776.226088
1819.0,306,51780.173629
2166.0,257,51782.256027
2784.0,543,51873.747933
1699.0,253,51877.117078
1787.0,306,51880.871455
2460.0,328,51883.519374
1835.0,221,51886.750309
2695.0,303,51889.027852
1089.0,138,51890.154363
2255.0,331,51894.117258
1859.0,217,52130.218247
3420.0,548,52141.799968
1473.0,201,52145.033514
2726.0,388,52153.957214
1824.0,225,52157.793317
2900.0,408,52166.453926
2675.0,389,52175.064942
3225.0,426,52457.959367
2026.0,350,52463.58773
1570.0,234,52469.680918
2295.0,402,52478.188428
2331.0,299,52483.310791
1473.0,189,52486.435973
1538.0,190,52491.54119
1830.0,188,52494.773237
2156.0,251,52501.3685
2095.0,264,52505.694599
1497.0,196,52659.014297
1566.0,229,52662.568631
3212.0,439,52671.990987
1969.0,266,52676.597929
2036.0,276,52683.12306
1831.0,263,52687.640305
2400.0,379,52696.057257
1812.0,252,52701.93442
2008.0,292,52744.355036
1469.0,189,52749.417319
2953.0,388,52755.873867
2911.0,362,52763.395324
2529.0,412,52774.179487
1876.0,253,52778.643416
2450.0,342,52786.483802
2309.0,275,52793.213485
2525.0,392,53065.077823
1839.0,248,53071.118018
4032.0,892,53091.434903
2233.0,281,53096.139591
1493.0,219,53101.800496
1489.0,185,53104.628022
1870.0,293,53111.918407
1477.0,166,53114.44536
1461.0,210,53378.268067
2622.0,457,53387.458281
1865.0,294,53394.105782
2624.0,362,53400.073202
2557.0,302,53406.707614
2177.0,282,53413.343637
2676.0,379,53419.58004
2274.0,303,53571.748263
1994.0,257,53576.592243
3751.0,531,53587.547352
3069.0,500,53598.586828
1875.0,241,53604.602637
2226.0,333,53612.747428
3324.0,419,53619.089646
1979.0,295,53938.577375
2366.0,249,53942.561376
1499.0,199,53947.428059
2390.0,320,53952.826334
2288.0,279,53959.436672
2195.0,313,53968.387682
2263.0,273,53973.596922
1830.0,314,53982.169589
1850.0,246,53986.897466
2963.0,459,54011.350661
1899.0,361,54020.244065
1899.0,286,54025.098697
1925.0,225,54032.285496
3402.0,507,54042.371724
5485.0,1113,54088.026373
1484.0,222,54091.616521
1570.0,243,54097.230001
