#{"t_start": 1743693151.637288, "env_id": "SuperMarioBros-v2"}
r,l,t
82.0,6016,47593.047347
82.0,6016,47637.310643
82.0,6016,47681.822164
82.0,6016,47726.395137
82.0,6016,47771.1365
402.0,6016,47844.601296
402.0,6016,47892.238639
402.0,6016,47938.416761
402.0,6016,47983.484029
402.0,6016,48029.336242
1558.0,188,48057.654412
1558.0,188,48058.882044
1558.0,188,48060.23683
1558.0,188,48061.705874
1558.0,188,48063.261342
2037.0,224,48092.218771
2037.0,224,48093.769843
2037.0,224,48095.528971
2037.0,224,48097.360898
2037.0,224,48099.058008
1507.0,4159,48158.84821
1507.0,4159,48189.919272
1507.0,4159,48220.846388
1507.0,4159,48252.307177
1507.0,4159,48284.037685
2115.0,252,48314.660862
2115.0,252,48316.34298
2115.0,252,48318.348899
2115.0,252,48320.423322
2115.0,252,48322.688536
402.0,6016,48398.060766
402.0,6016,48444.570951
402.0,6016,48492.102438
402.0,6016,48538.309084
402.0,6016,48583.486238
1803.0,173,48612.812429
1803.0,173,48613.945341
1803.0,173,48615.034147
1803.0,173,48616.134611
1803.0,173,48617.358348
1813.0,177,48645.074715
1813.0,177,48646.474308
1813.0,177,48647.834711
1813.0,177,48649.253409
1813.0,177,48650.624356
998.0,4076,48709.806849
998.0,4076,48740.757008
998.0,4076,48771.426285
998.0,4076,48802.296601
998.0,4076,48832.303166
1113.0,4078,48890.643883
1113.0,4078,48920.809393
1113.0,4078,48952.438834
1113.0,4078,48984.843568
1113.0,4078,49015.965003
370.0,6016,49088.058831
370.0,6016,49132.250067
370.0,6016,49177.748136
370.0,6016,49222.915313
370.0,6016,49267.791744
780.0,6016,49342.394883
780.0,6016,49390.432498
780.0,6016,49438.147702
780.0,6016,49483.324883
780.0,6016,49531.876262
844.0,4068,49590.997114
844.0,4068,49622.774429
844.0,4068,49654.800038
844.0,4068,49686.069994
844.0,4068,49716.162645
-87.0,6016,49789.357197
-87.0,6016,49834.473611
-87.0,6016,49877.87444
-87.0,6016,49923.967274
-87.0,6016,49972.284231
352.0,6016,50047.337792
352.0,6016,50093.073822
352.0,6016,50139.05474
352.0,6016,50183.854208
352.0,6016,50228.648121
402.0,6016,50300.866033
402.0,6016,50346.671374
402.0,6016,50392.254565
402.0,6016,50437.878189
402.0,6016,50484.332159
498.0,6016,50559.216095
498.0,6016,50606.382993
498.0,6016,50652.553286
498.0,6016,50697.214812
498.0,6016,50744.439809
370.0,6016,50818.717997
370.0,6016,50865.375944
370.0,6016,50911.255184
370.0,6016,50957.798954
370.0,6016,51005.295261
692.0,4077,51063.846078
692.0,4077,51094.643738
692.0,4077,51124.698291
692.0,4077,51154.747542
692.0,4077,51184.491614
1443.0,2122,51229.18841
1443.0,2122,51246.021801
1443.0,2122,51262.230754
1443.0,2122,51279.283999
1443.0,2122,51295.659051
780.0,6016,51370.005217
780.0,6016,51419.051408
780.0,6016,51466.509939
780.0,6016,51515.034236
780.0,6016,51564.113404
838.0,4077,51626.108696
838.0,4077,51657.918814
838.0,4077,51689.654812
838.0,4077,51721.813178
838.0,4077,51753.103903
1522.0,2177,51798.81922
1522.0,2177,51816.013829
1522.0,2177,51833.300231
1522.0,2177,51850.249963
1522.0,2177,51866.610576
402.0,6016,51939.401485
402.0,6016,51985.89233
402.0,6016,52031.460161
402.0,6016,52076.179545
402.0,6016,52126.972685
1282.0,4121,52231.334941
1282.0,4121,52284.180418
1282.0,4121,52336.898638
1282.0,4121,52393.773828
1282.0,4121,52449.645
1731.0,2181,52533.382983
1731.0,2181,52562.674019
1731.0,2181,52592.582019
1731.0,2181,52622.765132
1731.0,2181,52651.38102
3432.0,529,52710.89337
3432.0,529,52718.394723
3432.0,529,52726.036174
3432.0,529,52733.323903
3432.0,529,52740.354475
1019.0,4082,52849.290291
1019.0,4082,52897.231853
1019.0,4082,52951.091095
1019.0,4082,53004.05728
1019.0,4082,53058.830343
904.0,4083,53166.938395
904.0,4083,53220.723367
904.0,4083,53274.329714
904.0,4083,53322.080232
904.0,4083,53372.581579
1737.0,2290,53454.058244
1737.0,2290,53481.839185
1737.0,2290,53509.635642
1737.0,2290,53538.647388
1737.0,2290,53567.988182
242.0,6016,53686.938044
242.0,6016,53730.680009
242.0,6016,53788.835049
242.0,6016,53861.885342
242.0,6016,53933.554221
1567.0,180,53992.854891
1567.0,180,53995.275825
1567.0,180,53997.661347
1567.0,180,54000.087679
1567.0,180,54002.515182
3138.0,343,54061.844549
3138.0,343,54066.322051
3138.0,343,54070.285613
3138.0,343,54074.567798
3138.0,343,54078.949629
1836.0,215,54131.619472
1836.0,215,54134.300087
1836.0,215,54136.957743
1836.0,215,54139.578137
1836.0,215,54142.383848
2077.0,280,54194.08893
2077.0,280,54197.462214
2077.0,280,54200.89349
2077.0,280,54204.274278
2077.0,280,54207.63431
1828.0,205,54261.155099
1828.0,205,54263.649811
1828.0,205,54266.164898
1828.0,205,54268.771151
1828.0,205,54271.403083
1802.0,2038,54349.522098
1802.0,2038,54374.253154
1802.0,2038,54400.166512
1802.0,2038,54426.753752
1802.0,2038,54452.512192
1466.0,2141,54529.528279
1466.0,2141,54557.574938
1466.0,2141,54586.501062
1466.0,2141,54613.135656
1466.0,2141,54641.839501
875.0,4080,54747.973113
875.0,4080,54798.5276
875.0,4080,54847.652613
875.0,4080,54896.95054
875.0,4080,54947.577575
1891.0,210,54986.02587
1891.0,210,54987.499815
1891.0,210,54988.869724
1891.0,210,54990.374258
1891.0,210,54991.981189
1879.0,204,55040.470173
1879.0,204,55041.947253
1879.0,204,55043.521431
1879.0,204,55045.146912
1879.0,204,55046.963323
1887.0,205,55089.138797
1887.0,205,55090.717045
1887.0,205,55092.345267
1887.0,205,55093.943867
1887.0,205,55095.549798
1895.0,218,55125.771294
1895.0,218,55127.438179
1895.0,218,55129.256753
1895.0,218,55131.137133
1895.0,218,55132.949627
1516.0,2144,55182.107526
1516.0,2144,55198.765942
1516.0,2144,55215.138563
1516.0,2144,55232.110523
1516.0,2144,55248.511152
1617.0,166,55276.919532
1617.0,166,55278.01769
1617.0,166,55279.265569
1617.0,166,55280.52958
1617.0,166,55281.96378
1821.0,199,55311.264985
1821.0,199,55312.593915
1821.0,199,55314.049601
1821.0,199,55315.541556
1821.0,199,55317.030968
1733.0,183,55345.703114
1733.0,183,55346.858826
1733.0,183,55348.072968
1733.0,183,55349.377095
1733.0,183,55350.833003
1894.0,212,55383.320381
1894.0,212,55386.281788
1894.0,212,55389.207865
1894.0,212,55392.23601
1894.0,212,55395.040759
1142.0,2108,55446.512735
1142.0,2108,55462.636483
1142.0,2108,55478.717381
1142.0,2108,55494.71812
1142.0,2108,55510.832972
1982.0,2191,55553.68786
1982.0,2191,55570.334807
1982.0,2191,55586.893465
1982.0,2191,55603.436014
1982.0,2191,55619.990382
1528.0,165,55648.371925
1528.0,165,55649.480814
1528.0,165,55650.73089
1528.0,165,55652.018582
1528.0,165,55653.333991
1566.0,172,55682.622507
1566.0,172,55683.728668
1566.0,172,55684.997351
1566.0,172,55686.335673
1566.0,172,55687.65063
2305.0,284,55717.19301
2305.0,284,55719.378693
2305.0,284,55721.53871
2305.0,284,55723.797763
2305.0,284,55725.788791
1618.0,177,55754.965517
1618.0,177,55756.08751
1618.0,177,55757.321698
1618.0,177,55758.672472
1618.0,177,55760.069837
1624.0,163,55789.476323
1624.0,163,55790.568232
1624.0,163,55791.646791
1624.0,163,55792.870646
1624.0,163,55794.182517
1571.0,187,55823.580002
1571.0,187,55824.770229
1571.0,187,55826.04044
1571.0,187,55827.408554
1571.0,187,55828.81318
1513.0,2153,55871.769078
